Geographic Area Name,CBSA Code,Metro vs Micro,States,Total population,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,18 years and over,18 years and over - Male,18 years and over - Female,18 years and over - Sex ratio (males per 100 females),65 years and over,65 years and over - Male,65 years and over - Female,65 years and over - Sex ratio (males per 100 females),One race,Two or More Races,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - American Indian and Alaska Native - Aztec,One race - American Indian and Alaska Native - Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,One race - American Indian and Alaska Native - Maya,One race - American Indian and Alaska Native - Native Village of Barrow Inupiat Traditional Government,One race - American Indian and Alaska Native - Navajo Nation,One race - American Indian and Alaska Native - Nome Eskimo Community,One race - American Indian and Alaska Native - Other American Indian and Alaska Native,One race - Asian,One race - Asian - Asian Indian,One race - Asian - Chinese,One race - Asian - Filipino,One race - Asian - Japanese,One race - Asian - Korean,One race - Asian - Vietnamese,One race - Asian - Other Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Native Hawaiian and Other Pacific Islander - Chamorro,One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,One race - Native Hawaiian and Other Pacific Islander - Samoan,One race - Native Hawaiian and Other Pacific Islander - Other Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Hispanic or Latino (of any race) - Mexican,Hispanic or Latino (of any race) - Puerto Rican,Hispanic or Latino (of any race) - Cuban,Hispanic or Latino (of any race) - Other Hispanic or Latino,One race - Some Other Race,Two or More Races,Two or More Races - White and Black or African American,Two or More Races - White and American Indian and Alaska Native,Two or More Races - White and Asian,Two or More Races - White and Some Other Race,Two or More Races - Black or African American and American Indian and Alaska Native,Two or More Races - Black or African American and Some Other Race,Race alone or in combination with one or more other races - Total population - White,Race alone or in combination with one or more other races - Total population - Black or African American,Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Race alone or in combination with one or more other races - Total population - Asian,Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races - Total population - Some Other Race,Not Hispanic or Latino,Not Hispanic or Latino - White alone,Not Hispanic or Latino - Black or African American alone,Not Hispanic or Latino - American Indian and Alaska Native alone,Not Hispanic or Latino - Asian alone,Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino - Some Other Race alone,Not Hispanic or Latino - Two or More Races,"Citizen, 18 and over population","Citizen, 18 and over population - Male","Citizen, 18 and over population - Female",Male percent total population,Female percent total population,Under 5 years percent total population,5 to 9 years percent total population,10 to 14 years percent total population,15 to 19 years percent total population,20 to 24 years percent total population,25 to 34 years percent total population,35 to 44 years percent total population,45 to 54 years percent total population,55 to 59 years percent total population,60 to 64 years percent total population,65 to 74 years percent total population,75 to 84 years percent total population,85 years and over percent total population,Under 18 years percent total population,16 years and over percent total population,18 years and over percent total population,21 years and over percent total population,62 years and over percent total population,65 years and over percent total population,18 years and over - Male percent,18 years and over - Female percent,65 years and over - Male percent,65 years and over - Female percent,One race percent total population,Two or More Races percent total population,One race - White percent total population,One race - Black or African American percent total population,One race - American Indian and Alaska Native percent total population,One race - American Indian and Alaska Native - Aztec percent total population,One race - American Indian and Alaska Native - Blackfeet Tribe of the Blackfeet Indian Reservation of Montana percent total population,One race - American Indian and Alaska Native - Maya percent total population,One race - American Indian and Alaska Native - Native Village of Barrow Inupiat Traditional Government percent total population,One race - American Indian and Alaska Native - Navajo Nation percent total population,One race - American Indian and Alaska Native - Nome Eskimo Community percent total population,One race - American Indian and Alaska Native - Other American Indian and Alaska Native percent total population,One race - Asian percent total population,One race - Asian - Asian Indian percent total population,One race - Asian - Chinese percent total population,One race - Asian - Filipino percent total population,One race - Asian - Japanese percent total population,One race - Asian - Korean percent total population,One race - Asian - Vietnamese percent total population,One race - Asian - Other Asian percent total population,One race - Native Hawaiian and Other Pacific Islander percent total population,One race - Native Hawaiian and Other Pacific Islander - Chamorro percent total population,One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian percent total population,One race - Native Hawaiian and Other Pacific Islander - Samoan percent total population,One race - Native Hawaiian and Other Pacific Islander - Other Native Hawaiian and Other Pacific Islander percent total population, Hispanic or Latino (of any race), Hispanic or Latino (of any race) - Mexican, Hispanic or Latino (of any race) - Puerto Rican, Hispanic or Latino (of any race) - Cuban, Hispanic or Latino (of any race) - Other Hispanic or Latino,One race - Some Other Race percent total population,Two or More Races,Two or More Races - White and Black or African American,Two or More Races - White and American Indian and Alaska Native,Two or More Races - White and Asian,Two or More Races - White and Some Other Race,Two or More Races - Black or African American and American Indian and Alaska Native,Two or More Races - Black or African American and Some Other Race,Race alone or in combination with one or more other races - Total population - White,Race alone or in combination with one or more other races - Total population - Black or African American,Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Race alone or in combination with one or more other races - Total population - Asian,Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races - Total population - Some Other Race, Not Hispanic or Latino, Not Hispanic or Latino - White alone, Not Hispanic or Latino - Black or African American alone, Not Hispanic or Latino - American Indian and Alaska Native alone, Not Hispanic or Latino - Asian alone, Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - Some Other Race alone, Not Hispanic or Latino - Two or More Races,"Citizen, 18 and over population - Male","Citizen, 18 and over population - Female",Total housing units
"Aberdeen, SD Micro Area",10100,Micropolitan Statistical Area,SD,42112,20804,21308,97.6,2576,2801,2945,2767,2917,4967,5234,4593,2542,3158,4370,2267,975,38.2,10063,33298,32049,30488,9559,7612,32049,15701,16348,96,7612,3393,4219,80.4,40081,2031,36446,204,1762,0,43,0,0,6,0,1713,1167,7,206,188,0,144,44,578,29,0,0,0,29,1769,880,303,202,384,473,2031,99,780,215,726,46,0,38355,391,2690,1426,48,1342,40343,36111,114,1622,1159,29,37,1271,31218,15271,15947,49.4,50.6,6.1,6.7,7,6.6,6.9,11.8,12.4,10.9,6,7.5,10.4,5.4,2.3,23.9,79.1,76.1,72.4,22.7,18.1,49,51,44.6,55.4,95.2,4.8,86.5,0.5,4.2,0,0.1,0,0,0,0,4.1,2.8,0,0.5,0.4,0,0.3,0.1,1.4,0.1,0,0,0,0.1,4.2,2.1,0.7,0.5,0.9,1.1,4.8,0.2,1.9,0.5,1.7,0.1,0,91.1,0.9,6.4,3.4,0.1,3.2,95.8,85.7,0.3,3.9,2.8,0.1,0.1,3,48.9,51.1,19901
"Aberdeen, WA Micro Area",10140,Micropolitan Statistical Area,WA,76397,39200,37197,105.4,3610,3877,4936,4444,3529,8928,9176,8948,5231,6280,11104,4919,1415,44.7,15273,62918,61124,58788,21452,17438,61124,31516,29608,106.4,17438,8313,9125,91.1,70290,6107,61800,1241,3168,25,32,0,0,21,0,3090,956,57,234,362,50,97,47,109,311,20,120,39,132,8262,6378,112,86,1686,2814,6107,178,1692,687,2952,41,2,67600,1557,5149,1909,667,5900,68135,59034,1241,2854,943,311,134,3618,58720,30111,28609,51.3,48.7,4.7,5.1,6.5,5.8,4.6,11.7,12,11.7,6.8,8.2,14.5,6.4,1.9,20,82.4,80,77,28.1,22.8,51.6,48.4,47.7,52.3,92,8,80.9,1.6,4.1,0,0,0,0,0,0,4,1.3,0.1,0.3,0.5,0.1,0.1,0.1,0.1,0.4,0,0.2,0.1,0.2,10.8,8.3,0.1,0.1,2.2,3.7,8,0.2,2.2,0.9,3.9,0.1,0,88.5,2,6.7,2.5,0.9,7.7,89.2,77.3,1.6,3.7,1.2,0.4,0.2,4.7,51.3,48.7,36568
"Abilene, TX Metro Area",10180,Metropolitan Statistical Area,TX,178244,90659,87585,103.5,11431,11484,11911,13196,17055,25629,22784,17932,9596,9849,15717,7937,3723,34.4,41745,140842,136499,127225,33415,27377,136499,69329,67170,103.2,27377,12175,15202,80.1,154987,23257,126766,13912,671,74,4,31,0,11,0,551,3427,211,303,961,172,305,718,757,256,217,28,0,11,42867,36917,879,371,4700,9955,23257,1741,1596,760,17045,134,471,149123,16968,3453,4482,400,28325,135377,111920,13366,243,3312,256,1073,5207,131205,66314,64891,50.9,49.1,6.4,6.4,6.7,7.4,9.6,14.4,12.8,10.1,5.4,5.5,8.8,4.5,2.1,23.4,79,76.6,71.4,18.7,15.4,50.8,49.2,44.5,55.5,87,13,71.1,7.8,0.4,0,0,0,0,0,0,0.3,1.9,0.1,0.2,0.5,0.1,0.2,0.4,0.4,0.1,0.1,0,0,0,24,20.7,0.5,0.2,2.6,5.6,13,1,0.9,0.4,9.6,0.1,0.3,83.7,9.5,1.9,2.5,0.2,15.9,76,62.8,7.5,0.1,1.9,0.1,0.6,2.9,50.5,49.5,75164
"Ada, OK Micro Area",10220,Micropolitan Statistical Area,OK,38158,18666,19492,95.8,2479,2789,2721,2470,2474,4937,4978,4213,1984,2634,3669,2024,786,37.5,9511,29786,28647,27134,7995,6479,28647,13754,14893,92.4,6479,2823,3656,77.2,33476,4682,24835,957,6969,0,29,0,0,13,0,6927,395,75,67,126,0,10,57,60,51,0,28,0,23,2401,2105,11,0,285,269,4682,256,2650,66,1137,239,0,29245,1683,10166,518,82,1447,35757,24158,918,6868,395,51,19,3348,28361,13651,14710,48.9,51.1,6.5,7.3,7.1,6.5,6.5,12.9,13,11,5.2,6.9,9.6,5.3,2.1,24.9,78.1,75.1,71.1,21,17,48,52,43.6,56.4,87.7,12.3,65.1,2.5,18.3,0,0.1,0,0,0,0,18.2,1,0.2,0.2,0.3,0,0,0.1,0.2,0.1,0,0.1,0,0.1,6.3,5.5,0,0,0.7,0.7,12.3,0.7,6.9,0.2,3,0.6,0,76.6,4.4,26.6,1.4,0.2,3.8,93.7,63.3,2.4,18,1,0.1,0,8.8,48.1,51.9,17483
"Adrian, MI Micro Area",10300,Micropolitan Statistical Area,MI,98823,50126,48697,102.9,4994,5531,6054,6511,6219,11371,11985,12541,6479,7479,11893,5690,2076,42.2,20452,80944,78371,74441,24214,19659,78371,39557,38814,101.9,19659,8949,10710,83.6,92147,6676,87997,2229,258,28,0,6,0,0,0,224,334,15,53,152,41,63,9,1,41,0,6,0,35,8650,7006,739,94,811,1288,6676,1131,1066,279,3290,147,114,94297,3996,1712,828,206,4973,90173,84155,2147,92,314,41,137,3287,77291,39034,38257,50.7,49.3,5.1,5.6,6.1,6.6,6.3,11.5,12.1,12.7,6.6,7.6,12,5.8,2.1,20.7,81.9,79.3,75.3,24.5,19.9,50.5,49.5,45.5,54.5,93.2,6.8,89,2.3,0.3,0,0,0,0,0,0,0.2,0.3,0,0.1,0.2,0,0.1,0,0,0,0,0,0,0,8.8,7.1,0.7,0.1,0.8,1.3,6.8,1.1,1.1,0.3,3.3,0.1,0.1,95.4,4,1.7,0.8,0.2,5,91.2,85.2,2.2,0.1,0.3,0,0.1,3.3,50.5,49.5,43747
"Aguadilla, PR Metro Area",10380,Metropolitan Statistical Area,PR,252430,122334,130096,94,7841,10484,14077,14764,16226,31323,30717,33033,17366,18571,31499,20097,6432,45.2,41243,217441,211187,201444,69081,58028,211187,101397,109790,92.4,58028,26516,31512,84.1,184478,67952,142576,8269,358,26,0,0,0,0,0,332,85,26,45,14,0,0,0,0,28,0,0,28,0,246445,693,238256,279,7217,33162,67952,1572,32,39,24691,36,1340,202841,50968,38892,232,71,97160,5985,4026,368,93,59,28,360,1051,209961,100943,109018,48.5,51.5,3.1,4.2,5.6,5.8,6.4,12.4,12.2,13.1,6.9,7.4,12.5,8,2.5,16.3,86.1,83.7,79.8,27.4,23,48,52,45.7,54.3,73.1,26.9,56.5,3.3,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.6,0.3,94.4,0.1,2.9,13.1,26.9,0.6,0,0,9.8,0,0.5,80.4,20.2,15.4,0.1,0,38.5,2.4,1.6,0.1,0,0,0,0.1,0.4,48.1,51.9,122332
"Akron, OH Metro Area",10420,Metropolitan Statistical Area,OH,699508,341714,357794,95.5,35981,40128,39972,44276,49053,91131,83935,85464,47883,50874,79005,35603,16203,40.8,141717,574951,557791,529010,160850,130811,557791,269473,288318,93.5,130811,58454,72357,80.8,659373,40135,544850,82928,796,41,42,150,0,10,0,553,24635,5654,3739,1839,249,815,1111,11228,97,31,14,11,41,17475,7472,3786,473,5744,6067,40135,14588,3535,5335,11140,1394,542,582422,102041,7744,30997,673,18833,682033,539255,81945,383,24513,72,2774,33091,543658,261706,281952,48.9,51.1,5.1,5.7,5.7,6.3,7,13,12,12.2,6.8,7.3,11.3,5.1,2.3,20.3,82.2,79.7,75.6,23,18.7,48.3,51.7,44.7,55.3,94.3,5.7,77.9,11.9,0.1,0,0,0,0,0,0,0.1,3.5,0.8,0.5,0.3,0,0.1,0.2,1.6,0,0,0,0,0,2.5,1.1,0.5,0.1,0.8,0.9,5.7,2.1,0.5,0.8,1.6,0.2,0.1,83.3,14.6,1.1,4.4,0.1,2.7,97.5,77.1,11.7,0.1,3.5,0,0.4,4.7,48.1,51.9,318279
"Alamogordo, NM Micro Area",10460,Micropolitan Statistical Area,NM,68235,35767,32468,110.2,4155,4554,3838,4348,5983,10344,8260,6906,4167,3957,6929,3423,1371,36.3,15097,55018,53138,50389,13955,11723,53138,28146,24992,112.6,11723,5602,6121,91.5,55435,12800,40957,2490,4429,0,8,0,0,518,0,3903,1006,31,119,507,26,88,73,162,79,22,57,0,0,26683,21013,462,254,4954,6474,12800,798,575,443,9380,16,63,53432,4059,5821,1832,315,17069,41552,31781,2340,3988,974,79,269,2121,49294,26235,23059,52.4,47.6,6.1,6.7,5.6,6.4,8.8,15.2,12.1,10.1,6.1,5.8,10.2,5,2,22.1,80.6,77.9,73.8,20.5,17.2,53,47,47.8,52.2,81.2,18.8,60,3.6,6.5,0,0,0,0,0.8,0,5.7,1.5,0,0.2,0.7,0,0.1,0.1,0.2,0.1,0,0.1,0,0,39.1,30.8,0.7,0.4,7.3,9.5,18.8,1.2,0.8,0.6,13.7,0,0.1,78.3,5.9,8.5,2.7,0.5,25,60.9,46.6,3.4,5.8,1.4,0.1,0.4,3.1,53.2,46.8,32400
"Alamosa, CO Micro Area",10480,Micropolitan Statistical Area,CO,27622,13737,13885,98.9,1582,1854,1956,2348,2162,3552,3427,2442,1502,1842,3132,1323,500,36,6486,21875,21136,19279,6048,4955,21136,10551,10585,99.7,4955,2385,2570,92.8,20682,6940,16670,441,1049,0,0,0,0,131,0,918,151,0,23,24,47,7,39,11,60,35,25,0,0,13658,7966,173,12,5507,2311,6940,63,722,36,5407,3,20,23453,594,2354,263,109,8344,13964,12364,370,263,134,25,126,682,20436,10191,10245,49.7,50.3,5.7,6.7,7.1,8.5,7.8,12.9,12.4,8.8,5.4,6.7,11.3,4.8,1.8,23.5,79.2,76.5,69.8,21.9,17.9,49.9,50.1,48.1,51.9,74.9,25.1,60.4,1.6,3.8,0,0,0,0,0.5,0,3.3,0.5,0,0.1,0.1,0.2,0,0.1,0,0.2,0.1,0.1,0,0,49.4,28.8,0.6,0,19.9,8.4,25.1,0.2,2.6,0.1,19.6,0,0.1,84.9,2.2,8.5,1,0.4,30.2,50.6,44.8,1.3,1,0.5,0.1,0.5,2.5,49.9,50.1,13624
"Albany, GA Metro Area",10500,Metropolitan Statistical Area,GA,146768,69424,77344,89.8,9138,9652,10419,10356,9922,18486,17949,17578,9131,9358,15318,6864,2597,38.2,35525,115517,111243,105143,30642,24779,111243,51264,59979,85.5,24779,10722,14057,76.3,141266,5502,59881,77325,253,10,11,36,0,0,0,196,1700,232,279,343,139,360,248,99,40,2,38,0,0,4320,1723,628,301,1668,2067,5502,1198,1691,484,1254,220,289,64755,79317,2378,2254,73,3744,142448,59148,76886,156,1667,40,451,4100,109616,50312,59304,47.3,52.7,6.2,6.6,7.1,7.1,6.8,12.6,12.2,12,6.2,6.4,10.4,4.7,1.8,24.2,78.7,75.8,71.6,20.9,16.9,46.1,53.9,43.3,56.7,96.3,3.7,40.8,52.7,0.2,0,0,0,0,0,0,0.1,1.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0,0,0,0,0,2.9,1.2,0.4,0.2,1.1,1.4,3.7,0.8,1.2,0.3,0.9,0.1,0.2,44.1,54,1.6,1.5,0,2.6,97.1,40.3,52.4,0.1,1.1,0,0.3,2.8,45.9,54.1,67030
