Geographic Area Name,CBSA code,Metro vs Micro,Population,States,Primary State,Primary State Name
"Aberdeen, SD Micro Area",10100,Micropolitan Statistical Area,42112,SD,SD,South Dakota
"Aberdeen, WA Micro Area",10140,Micropolitan Statistical Area,76397,WA,WA,Washington
"Ada, OK Micro Area",10220,Micropolitan Statistical Area,38158,OK,OK,Oklahoma
"Adrian, MI Micro Area",10300,Micropolitan Statistical Area,98823,MI,MI,Michigan
"Alamogordo, NM Micro Area",10460,Micropolitan Statistical Area,68235,NM,NM,New Mexico
"Alamosa, CO Micro Area",10480,Micropolitan Statistical Area,27622,CO,CO,Colorado
"Albemarle, NC Micro Area",10620,Micropolitan Statistical Area,63557,NC,NC,North Carolina
"Albert Lea, MN Micro Area",10660,Micropolitan Statistical Area,30752,MN,MN,Minnesota
"Albertville, AL Micro Area",10700,Micropolitan Statistical Area,98712,AL,AL,Alabama
"Alexander City, AL Micro Area",10760,Micropolitan Statistical Area,41070,AL,AL,Alabama
"Alexandria, MN Micro Area",10820,Micropolitan Statistical Area,39354,MN,MN,Minnesota
"Alice, TX Micro Area",10860,Micropolitan Statistical Area,45850,TX,TX,Texas
"Alma, MI Micro Area",10940,Micropolitan Statistical Area,41478,MI,MI,Michigan
"Alpena, MI Micro Area",10980,Micropolitan Statistical Area,28908,MI,MI,Michigan
"Altus, OK Micro Area",11060,Micropolitan Statistical Area,24730,OK,OK,Oklahoma
"Americus, GA Micro Area",11140,Micropolitan Statistical Area,33713,GA,GA,Georgia
"Amsterdam, NY Micro Area",11220,Micropolitan Statistical Area,49461,NY,NY,New York
"Anderson Creek, NC Micro Area",11360,Micropolitan Statistical Area,136503,NC,NC,North Carolina
"Andrews, TX Micro Area",11380,Micropolitan Statistical Area,18518,TX,TX,Texas
"Angola, IN Micro Area",11420,Micropolitan Statistical Area,34648,IN,IN,Indiana
"Arcadia, FL Micro Area",11580,Micropolitan Statistical Area,34719,FL,FL,Florida
"Ardmore, OK Micro Area",11620,Micropolitan Statistical Area,48255,OK,OK,Oklahoma
"Arkadelphia, AR Micro Area",11660,Micropolitan Statistical Area,21378,AR,AR,Arkansas
"Arkansas City-Winfield, KS Micro Area",11680,Micropolitan Statistical Area,34487,KS,KS,Kansas
"Ashland, OH Micro Area",11740,Micropolitan Statistical Area,52296,OH,OH,Ohio
"Astoria, OR Micro Area",11820,Micropolitan Statistical Area,41343,OR,OR,Oregon
"Atchison, KS Micro Area",11860,Micropolitan Statistical Area,16211,KS,KS,Kansas
"Athens, OH Micro Area",11900,Micropolitan Statistical Area,61573,OH,OH,Ohio
"Athens, TN Micro Area",11940,Micropolitan Statistical Area,67211,TN,TN,Tennessee
"Athens, TX Micro Area",11980,Micropolitan Statistical Area,83658,TX,TX,Texas
"Auburn, IN Micro Area",12140,Micropolitan Statistical Area,43584,IN,IN,Indiana
"Auburn, NY Micro Area",12180,Micropolitan Statistical Area,75464,NY,NY,New York
"Augusta-Waterville, ME Micro Area",12300,Micropolitan Statistical Area,125614,ME,ME,Maine
"Austin, MN Micro Area",12380,Micropolitan Statistical Area,40069,MN,MN,Minnesota
"Bainbridge, GA Micro Area",12460,Micropolitan Statistical Area,29118,GA,GA,Georgia
"Baker City, OR Micro Area",12520,Micropolitan Statistical Area,16796,OR,OR,Oregon
"Baraboo, WI Micro Area",12660,Micropolitan Statistical Area,65759,WI,WI,Wisconsin
"Barre, VT Micro Area",12740,Micropolitan Statistical Area,59958,VT,VT,Vermont
"Bartlesville, OK Micro Area",12780,Micropolitan Statistical Area,52895,OK,OK,Oklahoma
"Batavia, NY Micro Area",12860,Micropolitan Statistical Area,57943,NY,NY,New York
"Batesville, AR Micro Area",12900,Micropolitan Statistical Area,38120,AR,AR,Arkansas
"Bay City, TX Micro Area",13060,Micropolitan Statistical Area,36274,TX,TX,Texas
"Beatrice, NE Micro Area",13100,Micropolitan Statistical Area,21646,NE,NE,Nebraska
"Beaver Dam, WI Micro Area",13180,Micropolitan Statistical Area,88818,WI,WI,Wisconsin
"Bedford, IN Micro Area",13260,Micropolitan Statistical Area,45077,IN,IN,Indiana
"Beeville, TX Micro Area",13300,Micropolitan Statistical Area,31000,TX,TX,Texas
"Bellefontaine, OH Micro Area",13340,Micropolitan Statistical Area,46140,OH,OH,Ohio
"Bemidji, MN Micro Area",13420,Micropolitan Statistical Area,46421,MN,MN,Minnesota
"Bennington, VT Micro Area",13540,Micropolitan Statistical Area,37312,VT,VT,Vermont
"Big Rapids, MI Micro Area",13660,Micropolitan Statistical Area,40321,MI,MI,Michigan
"Big Spring, TX Micro Area",13700,Micropolitan Statistical Area,33127,TX,TX,Texas
"Bishop, CA Micro Area",13860,Micropolitan Statistical Area,18803,CA,CA,California
"Blackfoot, ID Micro Area",13940,Micropolitan Statistical Area,48993,ID,ID,Idaho
"Bloomsburg-Berwick, PA Micro Area",14100,Micropolitan Statistical Area,65055,PA,PA,Pennsylvania
"Bluefield, WV-VA Micro Area",14140,Micropolitan Statistical Area,98995,WV-VA,WV,West Virginia
"Blytheville, AR Micro Area",14180,Micropolitan Statistical Area,39749,AR,AR,Arkansas
"Bogalusa, LA Micro Area",14220,Micropolitan Statistical Area,45238,LA,LA,Louisiana
"Bonham, TX Micro Area",14300,Micropolitan Statistical Area,36525,TX,TX,Texas
"Boone, NC Micro Area",14380,Micropolitan Statistical Area,54607,NC,NC,North Carolina
"Borger, TX Micro Area",14420,Micropolitan Statistical Area,20413,TX,TX,Texas
"Bradford, PA Micro Area",14620,Micropolitan Statistical Area,40149,PA,PA,Pennsylvania
"Brainerd, MN Micro Area",14660,Micropolitan Statistical Area,97801,MN,MN,Minnesota
"Branson, MO Micro Area",14700,Micropolitan Statistical Area,56382,MO,MO,Missouri
"Brattleboro, VT Micro Area",14710,Micropolitan Statistical Area,45913,VT,VT,Vermont
"Breckenridge, CO Micro Area",14720,Micropolitan Statistical Area,38268,CO,CO,Colorado
"Brenham, TX Micro Area",14780,Micropolitan Statistical Area,36156,TX,TX,Texas
"Brevard, NC Micro Area",14820,Micropolitan Statistical Area,33243,NC,NC,North Carolina
"Brigham City, UT-ID Micro Area",14940,Micropolitan Statistical Area,64406,UT-ID,UT,Utah
"Brookhaven, MS Micro Area",15020,Micropolitan Statistical Area,34830,MS,MS,Mississippi
"Brookings, OR Micro Area",15060,Micropolitan Statistical Area,23463,OR,OR,Oregon
"Brookings, SD Micro Area",15100,Micropolitan Statistical Area,34968,SD,SD,South Dakota
"Brownwood, TX Micro Area",15220,Micropolitan Statistical Area,38294,TX,TX,Texas
"Bucyrus, OH Micro Area",15340,Micropolitan Statistical Area,41767,OH,OH,Ohio
"Burley, ID Micro Area",15420,Micropolitan Statistical Area,47087,ID,ID,Idaho
"Burlington, IA-IL Micro Area",15460,Micropolitan Statistical Area,44881,IA-IL,IA,Iowa
"Butte-Silver Bow, MT Micro Area",15580,Micropolitan Statistical Area,35589,MT,MT,Montana
"Cadillac, MI Micro Area",15620,Micropolitan Statistical Area,49024,MI,MI,Michigan
"Calhoun, GA Micro Area",15660,Micropolitan Statistical Area,58336,GA,GA,Georgia
"Cambridge, MD Micro Area",15700,Micropolitan Statistical Area,32612,MD,MD,Maryland
"Cambridge, OH Micro Area",15740,Micropolitan Statistical Area,38283,OH,OH,Ohio
"Camden, AR Micro Area",15780,Micropolitan Statistical Area,27034,AR,AR,Arkansas
"Campbellsville, KY Micro Area",15820,Micropolitan Statistical Area,37483,KY,KY,Kentucky
"Cañon City, CO Micro Area",15860,Micropolitan Statistical Area,49394,CO,CO,Colorado
"Canton, IL Micro Area",15900,Micropolitan Statistical Area,33259,IL,IL,Illinois
"Carbondale, IL Micro Area",16060,Micropolitan Statistical Area,52706,IL,IL,Illinois
"Carlsbad-Artesia, NM Micro Area",16100,Micropolitan Statistical Area,61114,NM,NM,New Mexico
"Carroll, IA Micro Area",16140,Micropolitan Statistical Area,20677,IA,IA,Iowa
"Cedar City, UT Micro Area",16260,Micropolitan Statistical Area,60201,UT,UT,Utah
"Cedartown, GA Micro Area",16340,Micropolitan Statistical Area,43365,GA,GA,Georgia
"Celina, OH Micro Area",16380,Micropolitan Statistical Area,42438,OH,OH,Ohio
"Centralia, IL Micro Area",16460,Micropolitan Statistical Area,37294,IL,IL,Illinois
"Centralia, WA Micro Area",16500,Micropolitan Statistical Area,83925,WA,WA,Washington
"Charleston-Mattoon, IL Micro Area",16660,Micropolitan Statistical Area,46689,IL,IL,Illinois
