GEO ID,Town,State Abbr,State,Metro,CBSA Code,County,Town Population,Full name
0100100,Abanda,AL,Alabama,,,Randolph County,48,"Abanda CDP, Alabama"
0100124,Abbeville,AL,Alabama,"Dothan, AL",20020,Henry County,2470,"Abbeville city, Alabama"
0100460,Adamsville,AL,Alabama,"Birmingham, AL",13820,Jefferson County,4291,"Adamsville city, Alabama"
0100484,Addison,AL,Alabama,,,Winston County,651,"Addison town, Alabama"
0100676,Akron,AL,Alabama,"Tuscaloosa, AL",46220,Hale County,354,"Akron town, Alabama"
0100820,Alabaster,AL,Alabama,"Birmingham, AL",13820,Shelby County,33633,"Alabaster city, Alabama"
0100988,Albertville,AL,Alabama,"Albertville, AL",10700,Marshall County,22584,"Albertville city, Alabama"
0101132,Alexander City,AL,Alabama,"Alexander City, AL",10760,Tallapoosa County,14686,"Alexander City city, Alabama"
0101180,Alexandria,AL,Alabama,"Anniston-Oxford, AL",11500,Calhoun County,3420,"Alexandria CDP, Alabama"
0101228,Aliceville,AL,Alabama,"Tuscaloosa, AL",46220,Pickens County,2338,"Aliceville city, Alabama"
0101396,Allgood,AL,Alabama,"Birmingham, AL",13820,Blount County,788,"Allgood town, Alabama"
0101660,Altoona,AL,Alabama,"Birmingham, AL",13820,Blount County,1211,"Altoona town, Alabama"
0101708,Andalusia,AL,Alabama,,,Covington County,8841,"Andalusia city, Alabama"
0101756,Anderson,AL,Alabama,"Florence-Muscle Shoals, AL",22520,Lauderdale County,309,"Anderson town, Alabama"
0101852,Anniston,AL,Alabama,,,,21377,"Anniston city, Alabama"
0102116,Arab,AL,Alabama,"Albertville, AL",10700,Marshall County,8573,"Arab city, Alabama"
0102260,Ardmore,AL,Alabama,"Huntsville, AL",26620,Limestone County,1444,"Ardmore town, Alabama"
0102320,Argo,AL,Alabama,"Birmingham, AL",13820,St. Clair County,4456,"Argo town, Alabama"
0102428,Ariton,AL,Alabama,"Ozark, AL",37120,Dale County,706,"Ariton town, Alabama"
0102500,Arley,AL,Alabama,,,Winston County,518,"Arley town, Alabama"
0102836,Ashford,AL,Alabama,"Dothan, AL",20020,Houston County,2438,"Ashford town, Alabama"
0102860,Ashland,AL,Alabama,,,Clay County,1779,"Ashland town, Alabama"
0102908,Ashville,AL,Alabama,"Birmingham, AL",13820,St. Clair County,2748,"Ashville city, Alabama"
0102956,Athens,AL,Alabama,"Huntsville, AL",26620,Limestone County,27474,"Athens city, Alabama"
0103004,Atmore,AL,Alabama,,,Escambia County,8389,"Atmore city, Alabama"
0103028,Attalla,AL,Alabama,"Gadsden, AL",23460,Etowah County,5829,"Attalla city, Alabama"
0103076,Auburn,AL,Alabama,"Auburn-Opelika, AL",12220,Lee County,78738,"Auburn city, Alabama"
0103220,Autaugaville,AL,Alabama,"Montgomery, AL",33860,Autauga County,1119,"Autaugaville town, Alabama"
0103364,Avon,AL,Alabama,"Dothan, AL",20020,Houston County,388,"Avon town, Alabama"
0103508,Axis,AL,Alabama,"Mobile, AL",33660,Mobile County,243,"Axis CDP, Alabama"
0103556,Babbie,AL,Alabama,,,Covington County,559,"Babbie town, Alabama"
0103676,Baileyton,AL,Alabama,"Cullman, AL",18980,Cullman County,976,"Baileyton town, Alabama"
0103724,Bakerhill,AL,Alabama,"Eufaula, AL-GA",21640,Barbour County,280,"Bakerhill town, Alabama"
0103820,Ballplay,AL,Alabama,"Gadsden, AL",23460,Etowah County,1149,"Ballplay CDP, Alabama"
0103940,Banks,AL,Alabama,"Troy, AL",45980,Pike County,298,"Banks town, Alabama"
0104660,Bay Minette,AL,Alabama,"Daphne-Fairhope-Foley, AL",19300,Baldwin County,8215,"Bay Minette city, Alabama"
0104684,Bayou La Batre,AL,Alabama,"Mobile, AL",33660,Mobile County,1977,"Bayou La Batre city, Alabama"
0104852,Bear Creek,AL,Alabama,,,Marion County,1317,"Bear Creek town, Alabama"
0104900,Beatrice,AL,Alabama,,,Monroe County,169,"Beatrice town, Alabama"
0104948,Beaverton,AL,Alabama,,,Lamar County,184,"Beaverton town, Alabama"
0105140,Belgreen,AL,Alabama,"Russellville, AL",40770,Franklin County,33,"Belgreen CDP, Alabama"
0105164,Belk,AL,Alabama,,,Fayette County,327,"Belk town, Alabama"
0105188,Bellamy,AL,Alabama,,,Sumter County,190,"Bellamy CDP, Alabama"
0105212,Belle Fontaine,AL,Alabama,"Mobile, AL",33660,Mobile County,853,"Belle Fontaine CDP, Alabama"
0105692,Benton,AL,Alabama,"Montgomery, AL",33860,Lowndes County,34,"Benton town, Alabama"
0105812,Berlin,AL,Alabama,"Cullman, AL",18980,Cullman County,592,"Berlin town, Alabama"
0105932,Berry,AL,Alabama,,,Fayette County,1063,"Berry town, Alabama"
0105980,Bessemer,AL,Alabama,"Birmingham, AL",13820,Jefferson County,25655,"Bessemer city, Alabama"
0106460,Billingsley,AL,Alabama,"Montgomery, AL",33860,Autauga County,71,"Billingsley town, Alabama"
0107000,Birmingham,AL,Alabama,"Birmingham, AL",13820,Jefferson County,199322,"Birmingham city, Alabama"
0107120,Black,AL,Alabama,"Dothan, AL",20020,Geneva County,462,"Black town, Alabama"
0107456,Blountsville,AL,Alabama,"Birmingham, AL",13820,Blount County,1757,"Blountsville town, Alabama"
0107588,Blue Ridge,AL,Alabama,"Montgomery, AL",33860,Elmore County,1375,"Blue Ridge CDP, Alabama"
0107672,Blue Springs,AL,Alabama,"Eufaula, AL-GA",21640,Barbour County,95,"Blue Springs town, Alabama"
0107912,Boaz,AL,Alabama,"Albertville, AL",10700,Marshall County,10847,"Boaz city, Alabama"
0108104,Boligee,AL,Alabama,"Tuscaloosa, AL",46220,Greene County,213,"Boligee town, Alabama"
0108248,Bon Air,AL,Alabama,"Talladega-Sylacauga, AL",45180,Talladega County,116,"Bon Air town, Alabama"
0108272,Bon Secour,AL,Alabama,"Daphne-Fairhope-Foley, AL",19300,Baldwin County,3094,"Bon Secour CDP, Alabama"
0108680,Boykin,AL,Alabama,,,Wilcox County,280,"Boykin CDP, Alabama"
0109016,Brantley,AL,Alabama,,,Crenshaw County,915,"Brantley town, Alabama"
0109064,Brantleyville,AL,Alabama,"Birmingham, AL",13820,Shelby County,720,"Brantleyville CDP, Alabama"
0109136,Brent,AL,Alabama,"Birmingham, AL",13820,Bibb County,2862,"Brent city, Alabama"
0109208,Brewton,AL,Alabama,,,Escambia County,5232,"Brewton city, Alabama"
0109328,Bridgeport,AL,Alabama,"Scottsboro, AL",42460,Jackson County,2377,"Bridgeport city, Alabama"
0109400,Brighton,AL,Alabama,"Birmingham, AL",13820,Jefferson County,3091,"Brighton city, Alabama"
0109424,Brilliant,AL,Alabama,,,Marion County,1078,"Brilliant town, Alabama"
0109457,Bristow Cove,AL,Alabama,"Gadsden, AL",23460,Etowah County,150,"Bristow Cove CDP, Alabama"
0109500,Brook Highland,AL,Alabama,"Birmingham, AL",13820,Shelby County,8428,"Brook Highland CDP, Alabama"
0109736,Brookside,AL,Alabama,"Birmingham, AL",13820,Jefferson County,1200,"Brookside town, Alabama"
0109808,Brookwood,AL,Alabama,"Tuscaloosa, AL",46220,Tuscaloosa County,2489,"Brookwood town, Alabama"
0109880,Broomtown,AL,Alabama,,,Cherokee County,222,"Broomtown CDP, Alabama"
0110240,Brundidge,AL,Alabama,"Troy, AL",45980,Pike County,2170,"Brundidge city, Alabama"
0110456,Bucks,AL,Alabama,"Mobile, AL",33660,Mobile County,0,"Bucks CDP, Alabama"
0111032,Butler,AL,Alabama,,,Choctaw County,2552,"Butler town, Alabama"
0111416,Calera,AL,Alabama,"Birmingham, AL",13820,Shelby County,17188,"Calera city, Alabama"
0111488,Calvert,AL,Alabama,,,Washington County,83,"Calvert CDP, Alabama"
0111512,Camden,AL,Alabama,,,Wilcox County,2056,"Camden city, Alabama"
0111680,Camp Hill,AL,Alabama,"Alexander City, AL",10760,Tallapoosa County,1098,"Camp Hill town, Alabama"
0112016,Carbon Hill,AL,Alabama,"Birmingham, AL",13820,Walker County,1440,"Carbon Hill city, Alabama"
0112040,Cardiff,AL,Alabama,"Birmingham, AL",13820,Jefferson County,42,"Cardiff town, Alabama"
0112070,Carlisle-Rockledge,AL,Alabama,"Gadsden, AL",23460,Etowah County,1791,"Carlisle-Rockledge CDP, Alabama"
0112112,Carlton,AL,Alabama,,,Clarke County,32,"Carlton CDP, Alabama"
0112160,Carolina,AL,Alabama,,,Covington County,250,"Carolina town, Alabama"
0112304,Carrollton,AL,Alabama,"Tuscaloosa, AL",46220,Pickens County,892,"Carrollton town, Alabama"
0112496,Castleberry,AL,Alabama,,,Conecuh County,288,"Castleberry town, Alabama"
0112544,Catherine,AL,Alabama,,,Wilcox County,5,"Catherine CDP, Alabama"
0112760,Cedar Bluff,AL,Alabama,,,Cherokee County,1633,"Cedar Bluff town, Alabama"
0113264,Center Point,AL,Alabama,"Birmingham, AL",13820,Jefferson County,16125,"Center Point city, Alabama"
0113648,Centre,AL,Alabama,,,Cherokee County,3664,"Centre city, Alabama"
0113672,Centreville,AL,Alabama,"Birmingham, AL",13820,Bibb County,2757,"Centreville city, Alabama"
0114008,Chatom,AL,Alabama,,,Washington County,669,"Chatom town, Alabama"
0114104,Chelsea,AL,Alabama,"Birmingham, AL",13820,Shelby County,15731,"Chelsea city, Alabama"
0114152,Cherokee,AL,Alabama,"Florence-Muscle Shoals, AL",22520,Colbert County,1059,"Cherokee town, Alabama"
0114392,Chickasaw,AL,Alabama,"Mobile, AL",33660,Mobile County,6367,"Chickasaw city, Alabama"
0114464,Childersburg,AL,Alabama,"Talladega-Sylacauga, AL",45180,Talladega County,4694,"Childersburg city, Alabama"
0114728,Choccolocco,AL,Alabama,"Anniston-Oxford, AL",11500,Calhoun County,3120,"Choccolocco CDP, Alabama"
0114968,Chunchula,AL,Alabama,"Mobile, AL",33660,Mobile County,213,"Chunchula CDP, Alabama"
0115064,Citronelle,AL,Alabama,"Mobile, AL",33660,Mobile County,3918,"Citronelle city, Alabama"
0115136,Clanton,AL,Alabama,"Birmingham, AL",13820,Chilton County,8862,"Clanton city, Alabama"
0115256,Clay,AL,Alabama,"Birmingham, AL",13820,Jefferson County,10288,"Clay city, Alabama"
0115304,Clayhatchee,AL,Alabama,"Ozark, AL",37120,Dale County,490,"Clayhatchee town, Alabama"
0115376,Clayton,AL,Alabama,"Eufaula, AL-GA",21640,Barbour County,2271,"Clayton town, Alabama"
0115472,Cleveland,AL,Alabama,"Birmingham, AL",13820,Blount County,1366,"Cleveland town, Alabama"
0115640,Clio,AL,Alabama,"Eufaula, AL-GA",21640,Barbour County,1393,"Clio city, Alabama"
0116000,Coaling,AL,Alabama,"Tuscaloosa, AL",46220,Tuscaloosa County,2253,"Coaling town, Alabama"
0116080,Coats Bend,AL,Alabama,"Gadsden, AL",23460,Etowah County,1429,"Coats Bend CDP, Alabama"
0116240,Coffee Springs,AL,Alabama,"Dothan, AL",20020,Geneva County,252,"Coffee Springs town, Alabama"
0116264,Coffeeville,AL,Alabama,,,Clarke County,237,"Coffeeville town, Alabama"
0116312,Coker,AL,Alabama,"Tuscaloosa, AL",46220,Tuscaloosa County,1152,"Coker town, Alabama"
0116600,Collinsville,AL,Alabama,"Fort Payne, AL",22840,DeKalb County,1835,"Collinsville town, Alabama"
0116684,Colony,AL,Alabama,"Cullman, AL",18980,Cullman County,261,"Colony town, Alabama"
0116744,Columbia,AL,Alabama,"Dothan, AL",20020,Houston County,769,"Columbia town, Alabama"
0116768,Columbiana,AL,Alabama,"Birmingham, AL",13820,Shelby County,4640,"Columbiana city, Alabama"
0116936,Concord,AL,Alabama,"Birmingham, AL",13820,Jefferson County,1878,"Concord CDP, Alabama"
0117176,Coosada,AL,Alabama,"Montgomery, AL",33860,Elmore County,1060,"Coosada town, Alabama"
0117368,Cordova,AL,Alabama,"Birmingham, AL",13820,Walker County,1723,"Cordova city, Alabama"
0117704,Cottondale,AL,Alabama,"Tuscaloosa, AL",46220,Tuscaloosa County,2850,"Cottondale CDP, Alabama"
0117824,Cottonwood,AL,Alabama,"Dothan, AL",20020,Houston County,1091,"Cottonwood town, Alabama"
0117968,County Line,AL,Alabama,"Birmingham, AL",13820,Blount County,302,"County Line town, Alabama"
0118040,Courtland,AL,Alabama,"Decatur, AL",19460,Lawrence County,777,"Courtland town, Alabama"
0118088,Cowarts,AL,Alabama,"Dothan, AL",20020,Houston County,2189,"Cowarts town, Alabama"
0118304,Creola,AL,Alabama,,,,2489,"Creola city, Alabama"
0118856,Crossville,AL,Alabama,"Fort Payne, AL",22840,DeKalb County,2296,"Crossville town, Alabama"
0118952,Cuba,AL,Alabama,,,Sumter County,369,"Cuba town, Alabama"
0118976,Cullman,AL,Alabama,"Cullman, AL",18980,Cullman County,18894,"Cullman city, Alabama"
0119024,Cullomburg,AL,Alabama,,,Washington County,310,"Cullomburg CDP, Alabama"
0119216,Cusseta,AL,Alabama,"Auburn-Opelika, AL",12220,Lee County,154,"Cusseta town, Alabama"
0119336,Dadeville,AL,Alabama,"Alexander City, AL",10760,Tallapoosa County,3034,"Dadeville city, Alabama"
0119360,Daleville,AL,Alabama,"Ozark, AL",37120,Dale County,4891,"Daleville city, Alabama"
0119648,Daphne,AL,Alabama,,,,28673,"Daphne city, Alabama"
0119744,Dauphin Island,AL,Alabama,,,,1944,"Dauphin Island town, Alabama"
0119816,Daviston,AL,Alabama,"Alexander City, AL",10760,Tallapoosa County,199,"Daviston town, Alabama"
0119912,Dayton,AL,Alabama,,,Marengo County,66,"Dayton town, Alabama"
0120008,Deatsville,AL,Alabama,"Montgomery, AL",33860,Elmore County,2618,"Deatsville town, Alabama"
0120104,Decatur,AL,Alabama,"Decatur, AL",19460,Morgan County,57760,"Decatur city, Alabama"
0120152,Deer Park,AL,Alabama,,,Washington County,73,"Deer Park CDP, Alabama"
0120272,Delta,AL,Alabama,,,Clay County,233,"Delta CDP, Alabama"
0120296,Demopolis,AL,Alabama,,,Marengo County,7010,"Demopolis city, Alabama"
0120392,Detroit,AL,Alabama,,,Marion County,230,"Detroit town, Alabama"
0120955,Dodge City,AL,Alabama,"Cullman, AL",18980,Cullman County,549,"Dodge City town, Alabama"
0121136,Dora,AL,Alabama,"Birmingham, AL",13820,Jefferson County,2617,"Dora city, Alabama"
0121184,Dothan,AL,Alabama,"Dothan, AL",20020,Houston County,71118,"Dothan city, Alabama"
0121280,Double Springs,AL,Alabama,,,Winston County,1188,"Double Springs town, Alabama"
0121328,Douglas,AL,Alabama,"Albertville, AL",10700,Marshall County,1153,"Douglas town, Alabama"
0121448,Dozier,AL,Alabama,,,Covington County,410,"Dozier town, Alabama"
0121890,Dunnavant,AL,Alabama,"Birmingham, AL",13820,Jefferson County,1010,"Dunnavant CDP, Alabama"
0121952,Dutton,AL,Alabama,"Scottsboro, AL",42460,Jackson County,409,"Dutton town, Alabama"
0122088,Eagle Point,AL,Alabama,"Birmingham, AL",13820,Shelby County,2929,"Eagle Point CDP, Alabama"
0122216,East Brewton,AL,Alabama,,,Escambia County,3325,"East Brewton city, Alabama"
0122504,East Point,AL,Alabama,"Cullman, AL",18980,Cullman County,447,"East Point CDP, Alabama"
0122816,Eclectic,AL,Alabama,"Montgomery, AL",33860,Elmore County,1201,"Eclectic town, Alabama"
0123032,Edgewater,AL,Alabama,"Birmingham, AL",13820,Jefferson County,694,"Edgewater CDP, Alabama"
0123176,Edwardsville,AL,Alabama,,,Cleburne County,243,"Edwardsville town, Alabama"
0123224,Egypt,AL,Alabama,"Gadsden, AL",23460,Etowah County,1039,"Egypt CDP, Alabama"
