Geographic Area Name,CBSA Code,Metropolitan/Micropolitan Statistical Area,States,Population,Population change in latest year,2020 Population,2021 Population,2022 Population,2023 Population,2020 Net Population Change,2021 Net Population Change,2022  Net Population Change,2023  Net Population Change,2020 Births,2021 Births,2022 Births,2023 Births,2020 Deaths,2021 Deaths,2022 Deaths,2023 Deaths,Natural Change 2020,Natural Change 2021,Natural Change 2022,Natural Change 2023,International Migration 2020,International Migration 2021,International Migration 2022,International Migration 2023,Domestic Migration 2020,Domestic Migration 2021,Domestic Migration 2022,Domestic Migration 2023,Net Migration 2020,Net Migration 2021,Net Migration 2022,Net Migration 2023,Residual 2020,Residual 2021,Residual 2022,Residual 2023
"Aberdeen, SD",10100,Micropolitan Statistical Area,SD,41790,-0.004336224,42213,42151,41972,41790,-78,-62,-179,-182,120,472,460,468,107,497,447,411,13,-25,13,57,4,62,69,59,-88,-122,-256,-301,-84,-60,-187,-242,-7,23,-5,3
"Aberdeen, WA",10140,Micropolitan Statistical Area,WA,77290,0.003232045,75855,76838,77041,77290,221,983,203,249,171,686,685,675,253,1019,1186,1152,-82,-333,-501,-477,0,11,39,28,324,1334,655,696,324,1345,694,724,-21,-29,10,2
"Abilene, TX",10180,Metropolitan Statistical Area,TX,181591,0.010719951,176883,177831,179665,181591,321,948,1834,1926,500,2145,2273,2321,431,2378,2303,2053,69,-233,-30,268,2,142,472,536,205,990,1403,1121,207,1132,1875,1657,45,49,-11,1
"Ada, OK",10220,Micropolitan Statistical Area,OK,38396,0.009570888,38095,38184,38032,38396,24,89,-152,364,110,496,462,458,117,554,603,549,-7,-58,-141,-91,0,3,6,11,19,119,-4,446,19,122,2,457,12,25,-13,-2
"Adrian, MI",10300,Micropolitan Statistical Area,MI,97520,-0.007733008,99325,99100,98280,97520,-97,-225,-820,-760,248,894,827,739,276,1307,1318,1191,-28,-413,-491,-452,2,36,126,105,-84,79,-432,-413,-82,115,-306,-308,13,73,-23,0
"Aguadilla, PR",10380,Metropolitan Statistical Area,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akron, OH",10420,Metropolitan Statistical Area,OH,698398,0.001271665,701674,696512,697511,698398,-551,-5162,999,887,1704,6715,6826,6793,2175,8652,9197,8066,-471,-1937,-2371,-1273,31,538,1226,1481,-285,-3931,2304,666,-254,-3393,3530,2147,174,168,-160,13
"Alamogordo, NM",10460,Micropolitan Statistical Area,NM,68835,0.004641184,67862,68486,68517,68835,27,624,31,318,210,771,712,687,186,790,843,774,24,-19,-131,-87,7,156,295,232,-25,461,-96,170,-18,617,199,402,21,26,-37,3
"Alamosa, CO",10480,Micropolitan Statistical Area,CO,27804,0.000539782,27330,27774,27789,27804,-6,444,15,15,89,332,325,323,83,316,365,350,6,16,-40,-27,0,9,24,23,-17,425,43,18,-17,434,67,41,5,-6,-12,1
"Albany, GA",10500,Metropolitan Statistical Area,GA,145508,-0.001975363,148249,144933,145796,145508,-666,-3316,863,-288,444,1717,1686,1712,599,1866,1960,1801,-155,-149,-274,-89,1,19,75,96,-473,-3016,1019,-297,-472,-2997,1094,-201,-39,-170,43,2
"Albany, OR",10540,Metropolitan Statistical Area,OR,131496,0.006691063,128981,130120,130622,131496,370,1139,502,874,358,1480,1433,1391,387,1528,1726,1576,-29,-48,-293,-185,1,6,28,10,409,1149,776,1045,410,1155,804,1055,-11,32,-9,4
"Albany-Schenectady-Troy, NY",10580,Metropolitan Statistical Area,NY,904682,0.001202973,899724,904824,903595,904682,477,5100,-1229,1087,2168,8397,8581,8581,2322,9223,9360,8874,-154,-826,-779,-293,19,844,2103,2012,769,4765,-2109,-643,788,5609,-6,1369,-157,317,-444,11
